component,check_cpu,is_lib
libc_bare,N,N
libc_stub,N,N
libc_freertos,N,N
libc_rtthread,N,N
minilibc_bare,N,N
minilibc_stub,N,N
minilibc_freertos,N,N
minilibc_rtthread,N,N
semihost2,N,N
mm,N,N
aos,N,N
cli,N,N
kv,N,N
ulog,N,N
devices,N,N
drivers,N,N
csi,N,N
debug,N,N
uservice,N,N
partition,N,N
utest,N,N
finsh,N,N
realt_perf,N,Y
freertos,Y,N
rtthread,Y,N
chip_riscv_dummy,Y,N
board_riscv_dummy,N,N
xuantie_cpu_sdk,N,N
bare_core_dsp,N,N
bare_core_ecc,N,N
bare_core_vector,N,N
bare_core_ai,N,N
bare_core_matrix,N,N
bare_core_lockup,N,N
bare_coremark,N,N
bare_core_nmi,N,N
bare_core_tcm,N,N
bare_core_vic,N,N
bare_core_vic2,N,N
bare_core_wfe,N,N
bare_core_wfi,N,N
bare_cpp_demo,N,N
bare_dhrystone,N,N
bare_drv_timer,N,N
bare_drv_uart,N,N
bare_helloworld,N,N
bare_linpack_dp,N,N
bare_linpack_sp,N,N
bare_whetstone,N,N
bare_semihost,N,N
bare_semihost2,N,N
bare_profiling_perf,N,N
bare_pie_demo,N,N
bare_boot_from_itcm,N,N
freertos_helloworld,N,N
freertos_cpp,N,N
freertos_kernel,N,N
freertos_smp,N,N
freertos_perf,N,N
rtthread_helloworld,N,N
rtthread_cpp,N,N
rtthread_smp,N,N
rtthread_perf,N,N
rtthread_kernel,N,N
osal_helloworld,N,N
osal_semihost2,N,N
osal_smp_demo,N,N
osal_core_dsp,N,N
osal_core_vector,N,N
osal_core_matrix,N,N
osal_cpp_demo,N,N
osal_kernel_sample,N,N
bare_audio_test,N,N
amrnb,N,N
amrwb,N,Y
demac,N,Y
flac,N,N
helix_aac,N,Y
helix_mp3,N,Y
libmad,N,Y
opus,N,Y
pvmp3dec,N,N
tremor,N,Y
