solutions,cpu_list,QEMU,CDK,CDS
bare_helloworld,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e902/e902m/e902t/e902mt/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,Y,Y,Y
bare_semihost,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e902/e902m/e902t/e902mt/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,Y,Y,Y
bare_semihost2,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e902/e902m/e902t/e902mt/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,Y,Y,Y
bare_cpp_demo,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,Y,Y,Y
bare_drv_uart,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e902/e902m/e902t/e902mt/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,Y,Y,Y
bare_drv_timer,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e902/e902m/e902t/e902mt/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,N,Y,Y
bare_core_vic,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e901mini-cp/e901minib-cp/e901minizm-cp/e901minibzm-cp/e902/e902m/e902t/e902mt/e906/e906f/e906fd/e906p/e906fp/e906fdp/e907/e907f/e907fd/e907p/e907fp/e907fdp/c906/c906fd/c906fdv/c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,Y,Y,Y
bare_core_vic2,e901-cp/e901b-cp/e901m-cp/e901bm-cp/e902/e902m/e902t/e902mt,N,N,N
bare_core_ecc,c907/c907fd/c907fdv/c907fdvm/c907-rv32/c907fd-rv32/c907fdv-rv32/c907fdvm-rv32/c908/c908v/c908i/c910v2/c910v3/c910v3-cp/c910v3-cp-xt/c920v2/c920v3/c920v3-cp/c920v3-cp-xt/r910/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt/c908x/c908x-cp/c908x-cp-xt/r920,N,Y,Y
bare_core_tcm,e907/e907f/e907fd/e907p/e907fp/e907fdp/r908/r908fd/r908fdv/r908-cp/r908fd-cp/r908fdv-cp/r908-cp-xt/r908fd-cp-xt/r908fdv-cp-xt,Y,Y,Y
